date,value
1970-01-31,100.56
1970-02-28,101.12
1970-03-31,101.68
1970-04-30,102.25
1970-05-31,102.82
1970-06-30,103.39
1970-07-31,103.97
1970-08-31,104.55
1970-09-30,105.13
1970-10-31,105.72
1970-11-30,106.31
1970-12-31,106.90
1971-01-31,107.45
1971-02-28,108.01
1971-03-31,108.57
1971-04-30,109.13
1971-05-31,109.70
1971-06-30,110.27
1971-07-31,110.84
1971-08-31,111.41
1971-09-30,111.99
1971-10-31,112.57
1971-11-30,113.16
1971-12-31,113.74
1972-01-31,114.19
1972-02-29,114.63
1972-03-31,115.08
1972-04-30,115.53
1972-05-31,115.99
1972-06-30,116.44
1972-07-31,116.90
1972-08-31,117.35
1972-09-30,117.81
1972-10-31,118.27
1972-11-30,118.74
1972-12-31,119.20
1973-01-31,120.31
1973-02-28,121.44
1973-03-31,122.57
1973-04-30,123.72
1973-05-31,124.87
1973-06-30,126.04
1973-07-31,127.22
1973-08-31,128.40
1973-09-30,129.60
1973-10-31,130.81
1973-11-30,132.03
1973-12-31,133.27
1974-01-31,135.60
1974-02-28,137.98
1974-03-31,140.40
1974-04-30,142.87
1974-05-31,145.37
1974-06-30,147.92
1974-07-31,150.51
1974-08-31,153.15
1974-09-30,155.84
1974-10-31,158.57
1974-11-30,161.35
1974-12-31,164.18
1975-01-31,165.72
1975-02-28,167.27
1975-03-31,168.83
1975-04-30,170.40
1975-05-31,172.00
1975-06-30,173.60
1975-07-31,175.22
1975-08-31,176.86
1975-09-30,178.51
1975-10-31,180.18
1975-11-30,181.86
1975-12-31,183.56
1976-01-31,184.94
1976-02-29,186.33
1976-03-31,187.73
1976-04-30,189.14
1976-05-31,190.56
1976-06-30,191.99
1976-07-31,193.43
1976-08-31,194.89
1976-09-30,196.35
1976-10-31,197.83
1976-11-30,199.32
1976-12-31,200.81
1977-01-31,202.14
1977-02-28,203.47
1977-03-31,204.81
1977-04-30,206.16
1977-05-31,207.52
1977-06-30,208.88
1977-07-31,210.26
1977-08-31,211.65
1977-09-30,213.04
1977-10-31,214.44
1977-11-30,215.86
1977-12-31,217.28
1978-01-31,218.03
1978-02-28,218.77
1978-03-31,219.53
1978-04-30,220.28
1978-05-31,221.04
1978-06-30,221.80
1978-07-31,222.56
1978-08-31,223.32
1978-09-30,224.09
1978-10-31,224.86
1978-11-30,225.63
1978-12-31,226.41
1979-01-31,227.09
1979-02-28,227.78
1979-03-31,228.47
1979-04-30,229.16
1979-05-31,229.86
1979-06-30,230.56
1979-07-31,231.26
1979-08-31,231.96
1979-09-30,232.66
1979-10-31,233.37
1979-11-30,234.07
1979-12-31,234.78
1980-01-31,236.26
1980-02-29,237.74
1980-03-31,239.23
1980-04-30,240.73
1980-05-31,242.25
1980-06-30,243.77
1980-07-31,245.30
1980-08-31,246.84
1980-09-30,248.39
1980-10-31,249.95
1980-11-30,251.52
1980-12-31,253.10
1981-01-31,254.11
1981-02-28,255.12
1981-03-31,256.14
1981-04-30,257.16
1981-05-31,258.19
1981-06-30,259.22
1981-07-31,260.26
1981-08-31,261.30
1981-09-30,262.34
1981-10-31,263.39
1981-11-30,264.44
1981-12-31,265.50
1982-01-31,266.09
1982-02-28,266.68
1982-03-31,267.27
1982-04-30,267.87
1982-05-31,268.46
1982-06-30,269.06
1982-07-31,269.66
1982-08-31,270.26
1982-09-30,270.86
1982-10-31,271.46
1982-11-30,272.06
1982-12-31,272.67
1983-01-31,273.09
1983-02-28,273.52
1983-03-31,273.95
1983-04-30,274.38
1983-05-31,274.81
1983-06-30,275.24
1983-07-31,275.68
1983-08-31,276.11
1983-09-30,276.54
1983-10-31,276.98
1983-11-30,277.41
1983-12-31,277.85
1984-01-31,278.37
1984-02-29,278.90
1984-03-31,279.43
1984-04-30,279.96
1984-05-31,280.49
1984-06-30,281.02
1984-07-31,281.56
1984-08-31,282.09
1984-09-30,282.63
1984-10-31,283.16
1984-11-30,283.70
1984-12-31,284.24
1985-01-31,284.71
1985-02-28,285.18
1985-03-31,285.65
1985-04-30,286.12
1985-05-31,286.59
1985-06-30,287.07
1985-07-31,287.54
1985-08-31,288.01
1985-09-30,288.49
1985-10-31,288.97
1985-11-30,289.44
1985-12-31,289.92
1986-01-31,290.07
1986-02-28,290.21
1986-03-31,290.36
1986-04-30,290.50
1986-05-31,290.65
1986-06-30,290.79
1986-07-31,290.94
1986-08-31,291.08
1986-09-30,291.23
1986-10-31,291.37
1986-11-30,291.52
1986-12-31,291.66
1987-01-31,291.69
1987-02-28,291.71
1987-03-31,291.73
1987-04-30,291.76
1987-05-31,291.78
1987-06-30,291.81
1987-07-31,291.83
1987-08-31,291.86
1987-09-30,291.88
1987-10-31,291.90
1987-11-30,291.93
1987-12-31,291.95
1988-01-31,292.12
1988-02-29,292.29
1988-03-31,292.46
1988-04-30,292.63
1988-05-31,292.80
1988-06-30,292.97
1988-07-31,293.14
1988-08-31,293.31
1988-09-30,293.48
1988-10-31,293.65
1988-11-30,293.83
1988-12-31,294.00
1989-01-31,294.55
1989-02-28,295.11
1989-03-31,295.67
1989-04-30,296.23
1989-05-31,296.80
1989-06-30,297.36
1989-07-31,297.92
1989-08-31,298.49
1989-09-30,299.05
1989-10-31,299.62
1989-11-30,300.19
1989-12-31,300.76
1990-01-31,301.52
1990-02-28,302.29
1990-03-31,303.06
1990-04-30,303.83
1990-05-31,304.61
1990-06-30,305.38
1990-07-31,306.16
1990-08-31,306.94
1990-09-30,307.72
1990-10-31,308.51
1990-11-30,309.29
1990-12-31,310.08
1991-01-31,310.92
1991-02-28,311.76
1991-03-31,312.61
1991-04-30,313.46
1991-05-31,314.31
1991-06-30,315.16
1991-07-31,316.01
1991-08-31,316.87
1991-09-30,317.73
1991-10-31,318.59
1991-11-30,319.45
1991-12-31,320.31
1992-01-31,320.76
1992-02-29,321.22
1992-03-31,321.67
1992-04-30,322.12
1992-05-31,322.57
1992-06-30,323.03
1992-07-31,323.48
1992-08-31,323.93
1992-09-30,324.39
1992-10-31,324.85
1992-11-30,325.30
1992-12-31,325.76
1993-01-31,326.11
1993-02-28,326.46
1993-03-31,326.81
1993-04-30,327.17
1993-05-31,327.52
1993-06-30,327.87
1993-07-31,328.22
1993-08-31,328.58
1993-09-30,328.93
1993-10-31,329.29
1993-11-30,329.64
1993-12-31,329.99
1994-01-31,330.19
1994-02-28,330.38
1994-03-31,330.57
1994-04-30,330.76
1994-05-31,330.96
1994-06-30,331.15
1994-07-31,331.34
1994-08-31,331.53
1994-09-30,331.73
1994-10-31,331.92
1994-11-30,332.11
1994-12-31,332.30
1995-01-31,332.28
1995-02-28,332.25
1995-03-31,332.22
1995-04-30,332.19
1995-05-31,332.17
1995-06-30,332.14
1995-07-31,332.11
1995-08-31,332.08
1995-09-30,332.06
1995-10-31,332.03
1995-11-30,332.00
1995-12-31,331.97
1996-01-31,332.00
1996-02-29,332.03
1996-03-31,332.06
1996-04-30,332.08
1996-05-31,332.11
1996-06-30,332.14
1996-07-31,332.17
1996-08-31,332.19
1996-09-30,332.22
1996-10-31,332.25
1996-11-30,332.28
1996-12-31,332.30
1997-01-31,332.80
1997-02-28,333.29
1997-03-31,333.79
1997-04-30,334.29
1997-05-31,334.78
1997-06-30,335.28
1997-07-31,335.78
1997-08-31,336.28
1997-09-30,336.78
1997-10-31,337.28
1997-11-30,337.78
1997-12-31,338.29
1998-01-31,338.45
1998-02-28,338.62
1998-03-31,338.79
1998-04-30,338.96
1998-05-31,339.13
1998-06-30,339.30
1998-07-31,339.47
1998-08-31,339.64
1998-09-30,339.81
1998-10-31,339.98
1998-11-30,340.15
1998-12-31,340.32
1999-01-31,340.23
1999-02-28,340.15
1999-03-31,340.06
1999-04-30,339.98
1999-05-31,339.89
1999-06-30,339.80
1999-07-31,339.72
1999-08-31,339.63
1999-09-30,339.55
1999-10-31,339.46
1999-11-30,339.38
1999-12-31,339.29
2000-01-31,339.10
2000-02-29,338.90
2000-03-31,338.70
2000-04-30,338.50
2000-05-31,338.30
2000-06-30,338.11
2000-07-31,337.91
2000-08-31,337.71
2000-09-30,337.51
2000-10-31,337.31
2000-11-30,337.12
2000-12-31,336.92
2001-01-31,336.69
2001-02-28,336.47
2001-03-31,336.24
2001-04-30,336.02
2001-05-31,335.79
2001-06-30,335.57
2001-07-31,335.34
2001-08-31,335.12
2001-09-30,334.90
2001-10-31,334.67
2001-11-30,334.45
2001-12-31,334.22
2002-01-31,333.97
2002-02-28,333.72
2002-03-31,333.47
2002-04-30,333.22
2002-05-31,332.97
2002-06-30,332.72
2002-07-31,332.47
2002-08-31,332.22
2002-09-30,331.97
2002-10-31,331.72
2002-11-30,331.47
2002-12-31,331.22
2003-01-31,331.13
2003-02-28,331.05
2003-03-31,330.97
2003-04-30,330.88
2003-05-31,330.80
2003-06-30,330.72
2003-07-31,330.64
2003-08-31,330.55
2003-09-30,330.47
2003-10-31,330.39
2003-11-30,330.31
2003-12-31,330.22
2004-01-31,330.22
2004-02-29,330.22
2004-03-31,330.22
2004-04-30,330.22
2004-05-31,330.22
2004-06-30,330.22
2004-07-31,330.22
2004-08-31,330.22
2004-09-30,330.22
2004-10-31,330.22
2004-11-30,330.22
2004-12-31,330.22
2005-01-31,330.14
2005-02-28,330.06
2005-03-31,329.97
2005-04-30,329.89
2005-05-31,329.81
2005-06-30,329.73
2005-07-31,329.64
2005-08-31,329.56
2005-09-30,329.48
2005-10-31,329.40
2005-11-30,329.31
2005-12-31,329.23
2006-01-31,329.31
2006-02-28,329.40
2006-03-31,329.48
2006-04-30,329.56
2006-05-31,329.64
2006-06-30,329.73
2006-07-31,329.81
2006-08-31,329.89
2006-09-30,329.97
2006-10-31,330.05
2006-11-30,330.14
2006-12-31,330.22
2007-01-31,330.22
2007-02-28,330.22
2007-03-31,330.22
2007-04-30,330.22
2007-05-31,330.22
2007-06-30,330.22
2007-07-31,330.22
2007-08-31,330.22
2007-09-30,330.22
2007-10-31,330.22
2007-11-30,330.22
2007-12-31,330.22
2008-01-31,330.60
2008-02-29,330.99
2008-03-31,331.37
2008-04-30,331.75
2008-05-31,332.14
2008-06-30,332.52
2008-07-31,332.91
2008-08-31,333.29
2008-09-30,333.68
2008-10-31,334.07
2008-11-30,334.46
2008-12-31,334.84
2009-01-31,334.48
2009-02-28,334.11
2009-03-31,333.75
2009-04-30,333.39
2009-05-31,333.02
2009-06-30,332.66
2009-07-31,332.30
2009-08-31,331.93
2009-09-30,331.57
2009-10-31,331.21
2009-11-30,330.85
2009-12-31,330.49
2010-01-31,330.30
2010-02-28,330.10
2010-03-31,329.91
2010-04-30,329.72
2010-05-31,329.52
2010-06-30,329.33
2010-07-31,329.14
2010-08-31,328.95
2010-09-30,328.75
2010-10-31,328.56
2010-11-30,328.37
2010-12-31,328.18
2011-01-31,328.09
2011-02-28,328.01
2011-03-31,327.93
2011-04-30,327.85
2011-05-31,327.77
2011-06-30,327.68
2011-07-31,327.60
2011-08-31,327.52
2011-09-30,327.44
2011-10-31,327.36
2011-11-30,327.27
2011-12-31,327.19
2012-01-31,327.19
2012-02-29,327.19
2012-03-31,327.19
2012-04-30,327.19
2012-05-31,327.19
2012-06-30,327.19
2012-07-31,327.19
2012-08-31,327.19
2012-09-30,327.19
2012-10-31,327.19
2012-11-30,327.19
2012-12-31,327.19
2013-01-31,327.30
2013-02-28,327.41
2013-03-31,327.52
2013-04-30,327.63
2013-05-31,327.74
2013-06-30,327.85
2013-07-31,327.95
2013-08-31,328.06
2013-09-30,328.17
2013-10-31,328.28
2013-11-30,328.39
2013-12-31,328.50
2014-01-31,329.23
2014-02-28,329.96
2014-03-31,330.70
2014-04-30,331.43
2014-05-31,332.17
2014-06-30,332.91
2014-07-31,333.65
2014-08-31,334.39
2014-09-30,335.13
2014-10-31,335.88
2014-11-30,336.62
2014-12-31,337.37
2015-01-31,337.59
2015-02-28,337.82
2015-03-31,338.04
2015-04-30,338.27
2015-05-31,338.49
2015-06-30,338.72
2015-07-31,338.94
2015-08-31,339.17
2015-09-30,339.39
2015-10-31,339.62
