1871-01-31,1
1871-02-28,1.0184
1871-03-31,1.0482
1871-04-30,1.0827
1871-05-31,1.115
1871-06-30,1.1108
1871-07-31,1.0951
1871-08-31,1.114
1871-09-30,1.1307
1871-10-31,1.0773
1871-11-30,1.0941
1871-12-31,1.1228
1872-01-31,1.1564
1872-02-29,1.1665
1872-03-31,1.2101
1872-04-30,1.2492
1872-05-31,1.2548
1872-06-30,1.2483
1872-07-31,1.2467
1872-08-31,1.2379
1872-09-30,1.2218
1872-10-31,1.2327
1872-11-30,1.2339
1872-12-31,1.27
1873-01-31,1.2864
1873-02-28,1.3028
1873-03-31,1.2992
1873-04-30,1.288
1873-05-31,1.2972
1873-06-30,1.2859
1873-07-31,1.2902
1873-08-31,1.2971
1873-09-30,1.205
1873-10-31,1.1071
1873-11-30,1.0746
1873-12-31,1.183
1874-01-31,1.2546
1874-02-28,1.2997
1874-03-31,1.2882
1874-04-30,1.2603
1874-05-31,1.235
1874-06-30,1.237
1874-07-31,1.2447
1874-08-31,1.2551
1874-09-30,1.2825
1874-10-31,1.2874
1874-11-30,1.3066
1874-12-31,1.3059
1875-01-31,1.3138
1875-02-28,1.3187
1875-03-31,1.344
1875-04-30,1.3694
1875-05-31,1.3242
1875-06-30,1.3053
1875-07-31,1.316
1875-08-31,1.3297
1875-09-30,1.3254
1875-10-31,1.3119
1875-11-30,1.3409
1875-12-31,1.3486
1876-01-31,1.3841
1876-02-29,1.4105
1876-03-31,1.4152
1876-04-30,1.3697
1876-05-31,1.3271
1876-06-30,1.3255
1876-07-31,1.3175
1876-08-31,1.2709
1876-09-30,1.2014
1876-10-31,1.203
1876-11-30,1.1882
1876-12-31,1.1899
1877-01-31,1.188
1877-02-28,1.1256
1877-03-31,1.0759
1877-04-30,1.0053
1877-05-31,1.0125
1877-06-30,0.9473
1877-07-31,0.9957
1877-08-31,1.0722
1877-09-30,1.1453
1877-10-31,1.1762
1877-11-30,1.1644
1877-12-31,1.1664
1878-01-31,1.1721
1878-02-28,1.1525
1878-03-31,1.1799
1878-04-30,1.2184
1878-05-31,1.2277
1878-06-30,1.2591
1878-07-31,1.2906
1878-08-31,1.2851
1878-09-30,1.3169
1878-10-31,1.3076
1878-11-30,1.3095
1878-12-31,1.3076
1879-01-31,1.3626
1879-02-28,1.4179
1879-03-31,1.4009
1879-04-30,1.4529
1879-05-31,1.5245
1879-06-30,1.5383
1879-07-31,1.5756
1879-08-31,1.5936
1879-09-30,1.6587
1879-10-31,1.8459
1879-11-30,1.951
1879-12-31,1.9537
1880-01-31,2.0359
1880-02-29,2.0787
1880-03-31,2.1259
1880-04-30,2.0851
1880-05-31,1.9276
1880-06-30,1.9434
1880-07-31,2.0406
1880-08-31,2.1221
1880-09-30,2.1264
1880-10-31,2.1965
1880-11-30,2.3206
1880-12-31,2.4247
1881-01-31,2.5792
1881-02-28,2.5803
1881-03-31,2.6191
1881-04-30,2.6205
1881-05-31,2.7485
1881-06-30,2.7926
1881-07-31,2.7054
1881-08-31,2.6521
1881-09-30,2.6844
1881-10-31,2.6525
1881-11-30,2.6811
1881-12-31,2.6147
1882-01-31,2.5871
1882-02-28,2.542
1882-03-31,2.5493
1882-04-30,2.561
1882-05-31,2.5418
1882-06-30,2.5404
1882-07-31,2.6954
1882-08-31,2.7883
1882-09-30,2.8274
1882-10-31,2.7624
1882-11-30,2.6562
1882-12-31,2.6821
1883-01-31,2.6806
1883-02-28,2.633
1883-03-31,2.6779
1883-04-30,2.7464
1883-05-31,2.7122
1883-06-30,2.7484
1883-07-31,2.7188
1883-08-31,2.6083
1883-09-30,2.6499
1883-10-31,2.5912
1883-11-30,2.6429
1883-12-31,2.5981
1884-01-31,2.5336
1884-02-29,2.6154
1884-03-31,2.6189
1884-04-30,2.5136
1884-05-31,2.3232
