date,rate
2006-06-30,1.3463000059127808
2006-07-31,1.3056999444961548
2006-08-31,1.3100999593734741
2006-09-30,1.3395999670028687
2006-10-31,1.2903000116348267
2006-11-30,1.2681000232696533
2006-12-31,1.267699956893921
2007-01-31,1.289199948310852
2007-02-28,1.2704999446868896
2007-03-31,1.236199975013733
2007-04-30,1.2050000429153442
2007-05-31,1.2071000337600708
2007-06-30,1.1790000200271606
2007-07-31,1.173699975013733
2007-08-31,1.2246999740600586
2007-09-30,1.1260000467300415
2007-10-31,1.073199987411499
2007-11-30,1.1292999982833862
2007-12-31,1.1438000202178955
2008-01-31,1.1167999505996704
2008-02-29,1.075600028038025
2008-03-31,1.0943000316619873
2008-04-30,1.0595999956130981
2008-05-31,1.0464999675750732
2008-06-30,1.0437999963760376
2008-07-31,1.0631999969482422
2008-08-31,1.166599988937378
2008-09-30,1.2617000341415405
2008-10-31,1.4947999715805054
2008-11-30,1.5341999530792236
2008-12-31,1.4174000024795532
2009-01-31,1.5662000179290771
2009-02-28,1.556399941444397
2009-03-31,1.4455000162124634
2009-04-30,1.376099944114685
2009-05-31,1.2483999729156494
2009-06-30,1.240399956703186
2009-07-31,1.1966999769210815
2009-08-31,1.186400055885315
2009-09-30,1.131500005722046
2009-10-31,1.1098999977111816
2009-11-30,1.0898000001907349
2009-12-31,1.1131999492645264
2010-01-31,1.1282999515533447
2010-02-28,1.1125999689102173
2010-03-31,1.0922000408172607
2010-04-30,1.0813000202178955
2010-05-31,1.1812000274658203
2010-06-30,1.188599944114685
2010-07-31,1.104699969291687
2010-08-31,1.1212999820709229
2010-09-30,1.031599998474121
2010-10-31,1.027999997138977
2010-11-30,1.0408999919891357
2010-12-31,0.984470009803772
2011-01-31,1.0127999782562256
2011-02-28,0.9857100248336792
2011-03-31,0.9690700173377991
2011-04-30,0.9141600131988525
2011-05-31,0.9343199729919434
2011-06-30,0.9352200031280518
2011-07-31,0.909089982509613
2011-08-31,0.936680018901825
2011-09-30,1.0240999460220337
2011-10-31,0.9368600249290466
2011-11-30,0.998199999332428
2011-12-31,0.9861000180244446
2012-01-31,0.9446399807929993
2012-02-29,0.9259600043296814
2012-03-31,0.9660900235176086
2012-04-30,0.9563599824905396
2012-05-31,1.030400037765503
2012-06-30,0.9764699935913086
2012-07-31,0.9524999856948853
2012-08-31,0.9726700186729431
2012-09-30,0.9655200242996216
2012-10-31,0.9646900296211243
2012-11-30,0.9588299989700317
2012-12-31,0.9622799754142761
2013-01-31,0.9598000049591064
2013-02-28,0.9772999882698059
2013-03-31,0.9607300162315369
2013-04-30,0.9667400121688843
2013-05-31,1.0341999530792236
2013-06-30,1.0954999923706055
2013-07-31,1.1022000312805176
2013-08-31,1.1232999563217163
2013-09-30,1.0750999450683594
2013-10-31,1.0559300184249878
2013-11-30,1.0973000526428223
2013-12-31,1.1210999488830566
2014-01-31,1.1368999481201172
2014-02-28,1.1158599853515625
2014-03-31,1.0799000263214111
2014-04-30,1.0781999826431274
2014-05-31,1.0742000341415405
2014-06-30,1.061900019645691
2014-07-31,1.0722999572753906
2014-08-31,1.0713000297546387
2014-09-30,1.1471999883651733
2014-10-31,1.1332000494003296
2014-11-30,1.184399962425232
2014-12-31,1.2218999862670898
2015-01-31,1.2839000225067139
2015-02-28,1.2789000272750854
2015-03-31,1.305799961090088
2015-04-30,1.2508000135421753
2015-05-31,1.305799961090088
2015-06-30,1.3033000230789185
2015-07-31,1.37090003490448
2015-08-31,1.4004000425338745
2015-09-30,1.4278000593185425
2015-10-31,1.4104000329971313
2015-11-30,1.3919999599456787
2015-12-31,1.3726999759674072
2016-01-31,1.4147000312805176
2016-02-29,1.402899980545044
2016-03-31,1.305299997329712
2016-04-30,1.3145999908447266
2016-05-31,1.3897000551223755
2016-06-30,1.3387000560760498
2016-07-31,1.3178999423980713
2016-08-31,1.3289999961853027
2016-09-30,1.3108999729156494
2016-10-31,1.316100001335144
2016-11-30,1.3360999822616577
2016-12-31,1.3870999813079834
2017-01-31,1.3217999935150146
2017-02-28,1.3027000427246094
2017-03-31,1.3063000440597534
2017-04-30,1.3362900018692017
2017-05-31,1.3406000137329102
2017-06-30,1.301200032234192
2017-07-31,1.2522000074386597
2017-08-31,1.2647000551223755
2017-09-30,1.2744899988174438
2017-10-31,1.2991000413894653
2017-11-30,1.3215999603271484
2017-12-31,1.2806999683380127
2018-01-31,1.2344000339508057
2018-02-28,1.2831000089645386
2018-03-31,1.30239999294281
2018-04-30,1.320099949836731
2018-05-31,1.3207999467849731
2018-06-30,1.361199975013733
2018-07-31,1.3500200510025024
2018-08-31,1.3770999908447266
2018-09-30,1.3839999437332153
2018-10-31,1.4085999727249146
2018-11-30,1.3657699823379517
2018-12-31,1.4194999933242798
2019-01-31,1.3784199953079224
2019-02-28,1.398900032043457
2019-03-31,1.4110000133514404
2019-04-30,1.4174000024795532
2019-05-31,1.4479999542236328
2019-06-30,1.4278000593185425
2019-07-31,1.4544999599456787
2019-08-31,1.4845999479293823
2019-09-30,1.479099988937378
2019-10-31,1.449720025062561
2019-11-30,1.4781090021133423
2019-12-31,1.4282859563827515
2020-01-31,1.4907000064849854
2020-02-29,1.5197099447250366
2020-03-31,1.6210099458694458
2020-04-30,1.5255500078201294
2020-05-31,1.5075000524520874
2020-06-30,1.455199956893921
2020-07-31,1.3881800174713135
2020-08-31,1.3562999963760376
2020-09-30,1.3998539447784424
2020-10-31,1.4209389686584473
2020-11-30,1.3513000011444092
2020-12-31,1.300510048866272
2021-01-31,1.3082000017166138
2021-02-28,1.2706480026245117
2021-03-31,1.3142679929733276
2021-04-30,1.2857400178909302
2021-05-31,1.2970000505447388
2021-06-30,1.3309199810028076
2021-07-31,1.3520640134811401
2021-08-31,1.3715100288391113
2021-09-30,1.3927580118179321
2021-10-31,1.3277390003204346
2021-11-30,1.3994230031967163
2021-12-31,1.3793480396270752
2022-01-31,1.4289799928665161
2022-02-28,1.3914999961853027
2022-03-31,1.332800030708313
2022-04-30,1.4067000150680542
2022-05-31,1.3898149728775024
2022-06-30,1.4533900022506714
