date,adjclose
2007-05-31,14.052104949951172
2007-06-29,13.825786590576172
2007-07-31,14.249585151672363
2007-08-31,14.660177230834961
2007-09-28,14.5659761428833
2007-10-31,14.855420112609863
2007-11-30,15.436012268066406
2007-12-31,15.413490295410156
2008-01-31,15.789839744567871
2008-02-29,15.859046936035156
2008-03-31,16.008935928344727
2008-04-30,15.68559455871582
2008-05-30,15.348467826843262
2008-06-30,15.67025375366211
2008-07-31,15.671420097351074
2008-08-29,16.00574493408203
2008-09-30,16.11298179626465
2008-10-31,15.555150985717773
2008-11-28,17.530494689941406
2008-12-31,19.101573944091797
2009-01-30,17.503517150878906
2009-02-27,17.305992126464844
2009-03-31,18.064498901367188
2009-04-30,17.21411895751953
2009-05-29,16.745834350585938
2009-06-30,16.83965301513672
2009-07-31,16.859582901000977
2009-08-31,17.22104835510254
2009-09-30,17.64423370361328
2009-10-30,17.331552505493164
2009-11-30,17.617298126220703
2009-12-31,16.596519470214844
2010-01-29,16.95616912841797
2010-02-26,17.05028533935547
2010-03-31,16.791566848754883
2010-04-30,17.2148380279541
2010-05-28,17.94188117980957
2010-06-30,18.796993255615234
2010-07-30,18.848997116088867
2010-08-31,20.128379821777344
2010-09-30,19.765727996826172
2010-10-29,19.130409240722656
2010-11-30,18.787261962890625
2010-12-31,18.047504425048828
2011-01-31,17.784353256225586
2011-02-28,17.96462059020996
2011-03-31,17.93748664855957
2011-04-29,18.284595489501953
2011-05-31,18.88106346130371
2011-06-30,18.543216705322266
2011-07-29,19.333450317382812
2011-08-31,21.182472229003906
2011-09-30,23.222755432128906
2011-10-31,22.39980697631836
2011-11-30,22.87039566040039
2011-12-30,23.53299331665039
2012-01-31,23.54644775390625
2012-02-29,23.024311065673828
2012-03-30,22.142004013061523
2012-04-30,23.117965698242188
2012-05-31,24.906185150146484
2012-06-29,24.595766067504883
2012-07-31,25.409557342529297
2012-08-31,25.08832550048828
2012-09-28,24.579381942749023
2012-10-31,24.519006729125977
2012-11-30,24.7763614654541
2012-12-31,24.15538215637207
2013-01-31,23.48352813720703
2013-02-28,23.76944351196289
2013-03-28,23.73553466796875
2013-04-30,24.72891616821289
2013-05-31,23.149497985839844
2013-06-28,22.339262008666992
2013-07-31,22.002866744995117
2013-08-30,21.73069953918457
2013-09-30,21.916189193725586
2013-10-31,22.18263816833496
2013-11-29,21.596303939819336
2013-12-31,21.193378448486328
2014-01-31,22.461288452148438
2014-02-28,22.566390991210938
2014-03-31,22.702320098876953
2014-04-30,23.145030975341797
2014-05-30,23.799108505249023
2014-06-30,23.768999099731445
2014-07-31,23.857749938964844
2014-08-29,24.888151168823242
2014-09-30,24.428050994873047
2014-10-31,25.021366119384766
2014-11-28,25.70425033569336
2014-12-31,26.560752868652344
2015-01-30,28.86802101135254
2015-02-27,27.26691246032715
2015-03-31,27.523040771484375
2015-04-30,26.704639434814453
2015-05-29,26.094343185424805
2015-06-30,25.157922744750977
2015-07-31,26.200172424316406
2015-08-31,26.037433624267578
2015-09-30,26.50255012512207
2015-10-30,26.416017532348633
2015-11-30,26.186405181884766
2015-12-31,26.120452880859375
2016-01-29,27.488525390625
2016-02-29,28.239564895629883
2016-03-31,28.285327911376953
2016-04-29,28.105968475341797
2016-05-31,28.354209899902344
2016-06-30,30.198179244995117
2016-07-29,30.8068790435791
2016-08-31,30.486400604248047
2016-09-30,30.073684692382812
2016-10-31,28.804731369018555
2016-11-30,26.526958465576172
2016-12-30,26.412067413330078
2017-01-31,26.611440658569336
2017-02-28,27.040203094482422
2017-03-31,26.85004997253418
2017-04-28,27.275182723999023
2017-05-31,27.766176223754883
2017-06-30,27.93821144104004
2017-07-31,27.794546127319336
2017-08-31,28.695274353027344
2017-09-29,28.065196990966797
2017-10-31,28.061294555664062
2017-11-30,28.23201560974121
2017-12-29,28.792503356933594
2018-01-31,27.816749572753906
2018-02-28,26.991920471191406
2018-03-29,27.73467445373535
2018-04-30,27.17083740234375
2018-05-31,27.6986141204834
2018-06-29,27.864065170288086
2018-07-31,27.472614288330078
2018-08-31,27.833829879760742
2018-09-28,27.07447052001953
2018-10-31,26.302885055541992
2018-11-30,26.771345138549805
2018-12-31,28.341026306152344
2019-01-31,28.421892166137695
2019-02-28,28.04407501220703
2019-03-29,29.56841278076172
2019-04-30,29.018659591674805
2019-05-31,30.954971313476562
2019-06-28,31.220054626464844
2019-07-31,31.342191696166992
2019-08-30,34.737030029296875
2019-09-30,33.77474594116211
2019-10-31,33.43415069580078
2019-11-29,33.281280517578125
2019-12-31,32.23534393310547
2020-01-31,34.68181610107422
2020-02-28,36.895896911621094
2020-03-31,39.308143615722656
2020-04-30,39.754024505615234
2020-05-29,39.102989196777344
2020-06-30,39.21080780029297
2020-07-31,40.89569854736328
2020-08-31,38.911983489990234
2020-09-30,39.22330856323242
2020-10-30,37.919281005859375
2020-11-30,38.51493453979492
2020-12-31,38.06034469604492
2021-01-29,36.71942138671875
2021-02-26,34.674903869628906
2021-03-31,32.96010971069336
2021-04-30,33.72053909301758
2021-05-28,33.695106506347656
2021-06-30,35.08137893676758
2021-07-30,36.35737609863281
2021-08-31,36.28154754638672
2021-09-30,35.22455596923828
2021-10-29,35.914825439453125
2021-11-30,36.85591125488281
2021-12-31,36.160804748535156
2022-01-31,34.82246398925781
2022-02-28,34.317230224609375
2022-03-31,32.54214096069336
2022-04-29,29.59002685546875
2022-05-31,29.014057159423828
2022-06-30,28.612586975097656
2022-07-29,29.362476348876953
2022-08-31,28.040380477905273
2022-09-30,25.80306625366211
2022-10-31,24.42186737060547
2022-11-30,26.11005401611328
2022-12-30,25.5140323638916
2023-01-31,27.33332061767578
2023-02-28,26.01873016357422
2023-03-31,27.27193260192871
2023-04-28,27.393224716186523
2023-05-31,26.607770919799805
2023-06-30,26.60599136352539
2023-07-31,26.022560119628906
2023-08-31,25.306047439575195
2023-09-29,23.458934783935547
2023-10-31,22.315284729003906
2023-11-30,24.341320037841797
2023-12-29,26.355426788330078
2024-01-31,25.87409019470215
2024-02-29,25.27190589904785
2024-03-28,25.529573440551758
2024-04-30,24.015321731567383
2024-05-31,24.701372146606445
2024-06-28,25.11565399169922
2024-07-31,26.020017623901367
2024-08-30,26.5400447845459
2024-09-30,27.080350875854492
2024-10-31,25.667556762695312
2024-11-29,26.126909255981445
2024-12-31,24.712228775024414
2025-01-31,24.844327926635742
2025-02-28,26.12451934814453
2025-03-31,25.88993263244629
2025-04-30,25.635482788085938
2025-05-30,24.870527267456055
2025-06-30,25.506757736206055
2025-07-31,25.275671005249023
2025-08-29,25.336544036865234
2025-09-30,26.13364601135254
2025-10-31,26.46445083618164
2025-11-28,26.574769973754883
2025-12-31,26.018299102783203
2026-01-30,25.988813400268555
2026-02-27,27.086679458618164
2026-03-31,26.022050857543945
2026-04-30,25.82742691040039
2026-05-29,25.94700050354004
2026-06-16,26.18000030517578
