date,adjclose
2010-09-30,79.25985717773438
2010-10-29,82.25225830078125
2010-11-30,82.16107940673828
2010-12-31,87.84745788574219
2011-01-31,89.80061340332031
2011-02-28,92.91351318359375
2011-03-31,92.91571807861328
2011-04-29,95.6440200805664
2011-05-31,94.52510070800781
2011-06-30,92.93599700927734
2011-07-29,91.02613830566406
2011-08-31,86.00506591796875
2011-09-30,80.1690902709961
2011-10-31,88.78074645996094
2011-11-30,88.5174560546875
2011-12-30,89.51435852050781
2012-01-31,93.51871490478516
2012-02-29,97.52311706542969
2012-03-30,100.74395751953125
2012-04-30,100.10226440429688
2012-05-31,94.09235382080078
2012-06-29,97.98384094238281
2012-07-31,99.16378021240234
2012-08-31,101.64957427978516
2012-09-28,104.24337768554688
2012-10-31,102.20341491699219
2012-11-30,102.78853607177734
2012-12-31,103.83016204833984
2013-01-31,109.19766235351562
2013-02-28,110.64703369140625
2013-03-28,114.64411163330078
2013-04-30,117.04450988769531
2013-05-31,119.7649917602539
2013-06-28,117.95928955078125
2013-07-31,124.21589660644531
2013-08-30,120.38785552978516
2013-09-30,124.46870422363281
2013-10-31,130.0293426513672
2013-11-29,133.92506408691406
2013-12-31,137.4571533203125
2014-01-31,132.6056671142578
2014-02-28,138.6598358154297
2014-03-31,139.88058471679688
2014-04-30,140.8928680419922
2014-05-30,144.12554931640625
2014-06-30,147.1362762451172
2014-07-31,145.11085510253906
2014-08-29,150.8755645751953
2014-09-30,148.7926025390625
2014-10-31,152.36842346191406
2014-11-28,156.57046508789062
2014-12-31,155.2274169921875
2015-01-30,150.77005004882812
2015-02-27,159.18228149414062
2015-03-31,156.68194580078125
2015-04-30,158.25535583496094
2015-05-29,160.2345733642578
2015-06-30,157.1148681640625
2015-07-31,160.53439331054688
2015-08-31,150.68350219726562
2015-09-30,146.96829223632812
2015-10-30,159.38919067382812
2015-11-30,160.06671142578125
2015-12-31,157.28440856933594
2016-01-29,149.56024169921875
2016-02-29,149.24893188476562
2016-03-31,159.50735473632812
2016-04-29,160.06573486328125
2016-05-31,162.8741455078125
2016-06-30,163.39903259277344
2016-07-29,169.4181671142578
2016-08-31,169.6221923828125
2016-09-30,169.67132568359375
2016-10-31,166.63128662109375
2016-11-30,172.83953857421875
2016-12-30,176.42071533203125
2017-01-31,179.56576538085938
2017-02-28,186.5260009765625
2017-03-31,186.77194213867188
2017-04-28,188.71432495117188
2017-05-31,191.36459350585938
2017-06-30,192.56961059570312
2017-07-31,196.54132080078125
2017-08-31,197.1136932373047
2017-09-29,201.13919067382812
2017-10-31,205.81991577148438
2017-11-30,212.1131134033203
2017-12-29,214.83387756347656
2018-01-31,226.8328857421875
2018-02-28,218.3809814453125
2018-03-29,212.9921875
2018-04-30,213.731201171875
2018-05-31,218.89588928222656
2018-06-29,220.55613708496094
2018-07-31,228.41455078125
2018-08-31,235.76910400390625
2018-09-28,237.1273956298828
2018-10-31,220.91339111328125
2018-11-30,225.0779266357422
2018-12-31,205.16488647460938
2019-01-31,221.41310119628906
2019-02-28,228.6086883544922
2019-03-29,233.01089477539062
2019-04-30,242.41065979003906
2019-05-31,227.02268981933594
2019-06-28,242.89418029785156
2019-07-31,246.4407958984375
2019-08-30,242.3978271484375
2019-09-30,247.1786346435547
2019-10-31,252.57371520996094
2019-11-29,261.7318420410156
2019-12-31,269.514892578125
2020-01-31,269.4147033691406
2020-02-28,247.59288024902344
2020-03-31,216.7888946533203
2020-04-30,244.50770568847656
2020-05-29,256.087646484375
2020-06-30,260.80511474609375
2020-07-31,276.1444396972656
2020-08-31,295.39447021484375
2020-09-30,284.2987060546875
2020-10-30,277.06292724609375
2020-11-30,307.39178466796875
2020-12-31,318.90185546875
2021-01-29,315.6449890136719
2021-02-26,324.3763122558594
2021-03-31,339.2173156738281
2021-04-30,357.16058349609375
2021-05-28,359.5442810058594
2021-06-30,367.66839599609375
2021-07-30,376.665771484375
2021-08-31,387.78399658203125
2021-09-30,369.69903564453125
2021-10-29,395.7204284667969
2021-11-30,392.8145751953125
2021-12-31,410.7279052734375
2022-01-31,389.2021484375
2022-02-28,377.60205078125
2022-03-31,391.91021728515625
2022-04-29,357.48333740234375
2022-05-31,358.4084777832031
2022-06-30,328.7877502441406
2022-07-29,359.03350830078125
2022-08-31,344.209228515625
2022-09-30,312.5458068847656
2022-10-31,337.9169921875
2022-11-30,356.5193176269531
2022-12-30,336.0820007324219
2023-01-31,357.2223205566406
2023-02-28,348.29742431640625
2023-03-31,361.2192077636719
2023-04-28,366.96307373046875
2023-05-31,368.73040771484375
2023-06-30,392.7344055175781
2023-07-31,405.65576171875
2023-08-31,399.0503845214844
2023-09-29,380.1197509765625
2023-10-31,371.8629455566406
2023-11-30,405.96435546875
2023-12-29,424.5518798828125
2024-01-31,431.3750305175781
2024-02-29,453.8370361328125
2024-03-28,468.72344970703125
2024-04-30,449.9335021972656
2024-05-31,472.5457458496094
2024-06-28,489.4021911621094
